Dataset	Solution	Time(s)	Error(%)
berlin52	17441	60.0051028	131,25
burma14	3323	0.101437	,00
ch150	47935	60.0005378	634,30
d493	111947	60.0005874	219,83
dsj1000	551274242	60.0009487	2854,36
eil51	986	59.9996217	131,46
gr202	55127	60.0000647	37,27
gr229	176212	60.000158	30,91
kroA100	165018	61.3284243	675,39
kroD100	146158	60.8815279	586,38
pcb442	202517	60.0011603	298,83
ulysses16	6859	0.4060844	,00
ulysses22	7013	55.1271104	,00
