Dataset	Solution	Time(s)	Error(%)
berlin52	10402	0.0062988	37.92
burma14	4003	1.844E-4	20.46
ch150	9126	0.0204514	39.80
d493	45300	0.1067504	29.42
dsj1000	25526005	0.4130136	36.80
eil51	614	4.545E-4	44.13
gr202	52615	0.0123497	31.01
gr229	179335	0.0182598	33.23
kroA100	30536	0.0013214	43.48
kroD100	28599	0.002614	34.31
pcb442	68841	0.0633153	35.57
ulysses16	7788	5.59E-5	13.54
ulysses22	8308	1.765E-4	18.47
